year,field,total_checked,had_data,pct_available
1989,boxscore,2122,2122,100.0
1989,draft,1,1,100.0
1989,linescore,2122,2122,100.0
1989,playbyplay,2122,2122,100.0
1989,roster,30,26,86.7
1989,standings_splits,1,1,100.0
1989,transactions,1,0,0.0
1989,winprobability,2122,2122,100.0
